epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,252.421,0.82215,0.58276,1.04277,0.99499,0.95833,0.99192,0.77485,0.8522,0.55546,1.08013,0.000924352,0.000924352,0.000924352
92,255.256,0.77825,0.55951,1.03765,0.97081,0.99691,0.995,0.77742,0.78618,0.53229,1.05171,0.0009161,0.0009161,0.0009161
93,257.808,0.83338,0.54968,1.03858,0.99493,0.95833,0.99192,0.7415,0.76102,0.54257,1.01351,0.000907848,0.000907848,0.000907848
94,260.424,0.80558,0.56232,1.02606,0.99584,0.95833,0.985,0.73378,0.78361,0.53544,1.00694,0.000899597,0.000899597,0.000899597
95,262.959,0.84573,0.59931,1.04068,0.99585,0.95833,0.955,0.73841,0.75247,0.5192,1.01283,0.000891345,0.000891345,0.000891345
96,265.355,0.82116,0.56738,1.06246,0.99622,0.95833,0.95642,0.7382,0.8177,0.54074,1.03586,0.000883093,0.000883093,0.000883093
97,267.686,0.78273,0.57611,1.01336,0.99102,0.95833,0.96022,0.73235,0.84605,0.56575,1.06328,0.000874842,0.000874842,0.000874842
98,270.341,0.81879,0.55096,1.02787,0.99164,0.95833,0.9614,0.72389,0.85116,0.54192,1.04758,0.00086659,0.00086659,0.00086659
99,272.876,0.81975,0.55566,1.0068,0.99282,0.95833,0.987,0.72026,0.84942,0.53962,1.03887,0.000858338,0.000858338,0.000858338
100,275.719,0.79242,0.5347,1.00183,0.99556,0.95833,0.9646,0.72771,0.80364,0.53833,1.02681,0.000850087,0.000850087,0.000850087
101,278.274,0.81764,0.56761,1.02865,0.99133,0.95833,0.985,0.73093,0.8721,0.55158,1.03702,0.000841835,0.000841835,0.000841835
102,281.016,0.81597,0.5609,1.01842,0.99054,0.95833,0.97786,0.72347,0.93154,0.5796,1.05097,0.000833583,0.000833583,0.000833583
103,283.553,0.79786,0.56583,1.045,0.99034,0.95833,0.96833,0.73616,0.94053,0.59295,1.06744,0.000825332,0.000825332,0.000825332
104,286.307,0.80098,0.54501,1.00377,0.99243,0.95833,0.96406,0.72747,0.91093,0.58583,1.06724,0.00081708,0.00081708,0.00081708
105,289.499,0.77509,0.55379,1.04922,0.99424,0.95833,0.971,0.74067,0.77274,0.55788,1.02686,0.000808828,0.000808828,0.000808828
106,292.118,0.82951,0.55531,1.03615,0.99449,0.95833,0.97786,0.74851,0.74919,0.56479,1.01111,0.000800577,0.000800577,0.000800577
107,294.589,0.81194,0.52523,1.01272,0.97082,0.99672,0.995,0.76754,0.79547,0.55526,1.01818,0.000792325,0.000792325,0.000792325
108,297.354,0.76108,0.53777,0.99422,0.9709,0.99663,0.995,0.76256,0.79286,0.56471,1.02768,0.000784073,0.000784073,0.000784073
109,299.965,0.81126,0.54739,1.02477,0.97771,0.99697,0.995,0.75416,0.83878,0.55615,1.04732,0.000775822,0.000775822,0.000775822
110,303.143,0.77735,0.50883,1.00251,0.98106,0.99695,0.995,0.76127,0.82047,0.55198,1.04193,0.00076757,0.00076757,0.00076757
111,306.373,0.74843,0.50834,1.02652,0.98079,0.99691,0.995,0.76616,0.80412,0.55098,1.04248,0.000759318,0.000759318,0.000759318
112,308.945,0.796,0.55854,1.01803,0.9736,0.99685,0.995,0.75012,0.83688,0.54338,1.06516,0.000751067,0.000751067,0.000751067
113,311.763,0.79526,0.5071,0.98218,0.97272,0.99688,0.995,0.7571,0.82692,0.53953,1.05628,0.000742815,0.000742815,0.000742815
114,314.274,0.81703,0.5297,1.01255,0.97347,0.99702,0.995,0.77099,0.84658,0.50527,1.06131,0.000734564,0.000734564,0.000734564
115,316.928,0.78454,0.50485,1.01051,0.97499,0.99706,0.995,0.76213,0.8514,0.52739,1.06148,0.000726312,0.000726312,0.000726312
116,319.67,0.79489,0.50417,0.98909,0.97311,0.99707,0.995,0.75247,0.84844,0.5199,1.05202,0.00071806,0.00071806,0.00071806
117,322.344,0.74956,0.5223,0.99918,0.97085,0.99634,0.995,0.74571,0.77658,0.49064,1.02597,0.000709809,0.000709809,0.000709809
118,325.192,0.72532,0.49152,0.97075,0.97085,0.99695,0.995,0.74544,0.79805,0.50785,1.04088,0.000701557,0.000701557,0.000701557
119,327.864,0.74396,0.50552,1.01199,0.99305,0.95833,0.98167,0.75467,0.79951,0.50358,1.05631,0.000693305,0.000693305,0.000693305
120,330.372,0.68363,0.48487,0.96976,0.996,0.95833,0.975,0.73838,0.82287,0.50385,1.07009,0.000685054,0.000685054,0.000685054
121,333.46,0.78571,0.51204,1.03777,0.99635,0.95833,0.979,0.74955,0.86334,0.50221,1.08882,0.000676802,0.000676802,0.000676802
122,335.967,0.75353,0.49796,1.0134,0.9961,0.95833,0.98167,0.74037,0.88459,0.53221,1.07928,0.00066855,0.00066855,0.00066855
